Time , 13:45:10,  [Data], DPM 0
Time , 13:45:10,  [Data], NEP 0
Time , 13:45:10,  [Data], ISDN 0
Time , 13:45:12,  [Data], VOL 0
Time , 13:45:12,  [Data], DPM 0
Time , 13:45:12,  [Data], NEP 0
Time , 13:45:12,  [Data], ISDN 0
Time , 13:45:14,  [Data], VOL 0
Time , 13:45:14,  [Data], DPM 0
Time , 13:45:14,  [Data], NEP 0
Time , 13:45:14,  [Data], ISDN 0
Time , 13:45:16,  [Data], VOL 0
Time , 13:45:16,  [Data], DPM 0
Time , 13:45:16,  [Data], NEP 0
Time , 13:45:16,  [Data], ISDN 0
Time , 13:45:18,  [Data], VOL 0
Time , 13:45:18,  [Data], DPM 0
Time , 13:45:18,  [Data], NEP 0
Time , 13:45:18,  [Data], ISDN 0
Time , 13:45:20,  [Data], VOL 0
Time , 13:45:20,  [Data], DPM 0
Time , 13:45:20,  [Data], NEP 0
Time , 13:45:20,  [Data], ISDN 0
Time , 13:45:22,  [Data], VOL 0
Time , 13:45:22,  [Data], DPM 0
Time , 13:45:22,  [Data], NEP 0
Time , 13:45:22,  [Data], ISDN 0
Time , 13:45:24,  [Data], VOL 0
Time , 13:45:24,  [Data], DPM 0
Time , 13:45:24,  [Data], NEP 0
Time , 13:45:24,  [Data], ISDN 0
Time , 13:45:26,  [Data], VOL 0
Time , 13:45:26,  [Data], DPM 0
Time , 13:45:26,  [Data], NEP 0
Time , 13:45:26,  [Data], ISDN 0
Time , 13:45:28,  [Data], VOL 0
Time , 13:45:28,  [Data], DPM 0
Time , 13:45:28,  [Data], NEP 0
Time , 13:45:28,  [Data], ISDN 0
Time , 13:45:30,  [Data], VOL 0
Time , 13:45:30,  [Data], DPM 0
Time , 13:45:30,  [Data], NEP 0
Time , 13:45:30,  [Data], ISDN 0
Time , 13:45:32,  [Data], VOL 0
Time , 13:45:32,  [Data], DPM 0
Time , 13:45:32,  [Data], NEP 0
Time , 13:45:32,  [Data], ISDN 0
Time , 13:45:34,  [Data], VOL 0
Time , 13:45:34,  [Data], DPM 0
Time , 13:45:34,  [Data], NEP 0
Time , 13:45:34,  [Data], ISDN 0
Time , 13:45:36,  [Data], VOL 0
Time , 13:45:36,  [Data], DPM 0
Time , 13:45:36,  [Data], NEP 0
Time , 13:45:36,  [Data], ISDN 0
Time , 13:45:38,  [Data], VOL 0
Time , 13:45:38,  [Data], DPM 0
Time , 13:45:38,  [Data], NEP 0
Time , 13:45:38,  [Data], ISDN 0
Time , 13:45:40,  [Data], VOL 0
Time , 13:45:40,  [Data], DPM 0
Time , 13:45:40,  [Data], NEP 0
Time , 13:45:40,  [Data], ISDN 0
Time , 13:45:42,  [Data], VOL 0
Time , 13:45:42,  [Data], DPM 0
Time , 13:45:42,  [Data], NEP 0
Time , 13:45:42,  [Data], ISDN 0
Time , 13:45:44,  [Data], VOL 0
Time , 13:45:44,  [Data], DPM 0
